input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
17.0,0.2,-1.1815686306759627,-1.201939704442602,-2.013121261971363,-2.673768603867036,-2.2008875983877014,-0.6565144453775079
17.0,0.30000000000000004,-1.0554159779746672,-1.7755374480100987,-1.9771220996757854,-2.685278373641972,-2.2227089920832186,-0.6556972780551773
17.0,0.4,-0.9416720332809748,-2.3162886611930302,-1.9588577250993917,-2.693452225028319,-2.260005307976109,-0.6542845816371808
17.0,0.5,-0.8375448372931747,-2.8132445005298754,-1.9587258757705541,-2.6982494002040065,-2.3122123828450296,-0.652286520019483
17.0,0.6000000000000001,-0.7410215821425918,-3.2554561225591128,-1.976729425713673,-2.699645997297325,-2.378548294978448,-0.6497174022758074
17.0,0.7000000000000001,-0.6506145402741182,-3.6319746838192186,-2.0124762811737384,-2.6976351686031124,-2.458032847591045,-0.6465955120013462
17.0,0.8,-0.5652003255747139,-3.9318513408486733,-2.0651935784314848,-2.6922271766001526,-2.5495116577601777,-0.6429428906610877
17.0,0.9,-0.48391479488050093,-4.144137250185954,-2.133755465688435,-2.6834493066722773,-2.651684024486336,-0.6387850784446263
17.0,1.0,-0.40608234535426646,-4.25788356836954,-2.21672307406783,-2.671345637845904,-2.7631336365358874,-0.6341508170260274
18.0,0.0,-1.5821882204785003,-0.0,-1.1937189027380315,-2.506500434965552,-3.8860032629577055,-0.5678585507134325
18.0,0.1,-1.407017381782666,-0.6008104594268876,-1.096989141877442,-2.5206290136610674,-3.8814695640647403,-0.5681431294061385
18.0,0.2,-1.2555429104442295,-1.190773789195115,-1.0225168155980309,-2.531721372107636,-3.8842380017669083,-0.5680381673062547
18.0,0.30000000000000004,-1.12149223863329,-1.7590428596460228,-0.9718920546766685,-2.5397220431910332,-3.8942663044985304,-0.5675444235602471
18.0,0.4,-1.0006271448431596,-2.2947705411209505,-0.9462092402548556,-2.544590913754357,-3.9114018054223174,-0.5666654631567476
18.0,0.5,-0.8899808740191564,-2.7871097039612387,-0.9460276702585801,-2.546303559757229,-3.93538530940085,-0.5654076140419625
